P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	0.6592169743014117	0.2548781600690829	0.01749271137026239	7050.0	340.0	374.0	376.0	21.0	938.0	39.0	28.0	45.0	661.0	13.0	18.0	19.0	78.0	0.0
1	3	2	-99999.9	1.0	-0.018461538461538463	7050.0	374.0	340.0	376.0	21.0	938.0	45.0	18.0	39.0	661.0	19.0	28.0	13.0	78.0	0.0
2	1	3	-36.36680308229455	1.0	0.49550898203592814	7050.0	340.0	938.0	39.0	28.0	374.0	376.0	21.0	45.0	661.0	13.0	18.0	78.0	19.0	0.0
1	2	4	-99999.9	1.0	-0.015772870662460567	7012.0	378.0	384.0	366.0	21.0	942.0	44.0	19.0	39.0	660.0	20.0	23.0	20.0	71.0	1.0
1	4	2	0.5521558702899857	0.2904207550194	0.015060240963855422	7012.0	384.0	378.0	366.0	21.0	942.0	39.0	23.0	44.0	660.0	20.0	19.0	20.0	71.0	1.0
2	1	4	-35.55883804667504	1.0	0.5038520801232667	7012.0	378.0	942.0	44.0	19.0	384.0	366.0	21.0	39.0	660.0	20.0	23.0	71.0	20.0	1.0
1	2	5	-99999.9	1.0	-0.009345794392523364	7029.0	361.0	385.0	366.0	20.0	941.0	42.0	22.0	39.0	659.0	21.0	22.0	20.0	72.0	1.0
1	5	2	0.33453822443700976	0.3689867935990615	0.009090909090909092	7029.0	385.0	361.0	366.0	20.0	941.0	39.0	22.0	42.0	659.0	20.0	22.0	21.0	72.0	1.0
2	1	5	-36.13012823919705	1.0	0.5023041474654377	7029.0	361.0	941.0	42.0	22.0	385.0	366.0	20.0	39.0	659.0	21.0	22.0	72.0	20.0	1.0
1	2	6	-99999.9	1.0	-0.0379746835443038	7047.0	343.0	371.0	377.0	23.0	936.0	49.0	20.0	37.0	667.0	15.0	21.0	20.0	70.0	4.0
1	6	2	1.3093031345663737	0.09521591137048313	0.03409090909090909	7047.0	371.0	343.0	377.0	23.0	936.0	37.0	21.0	49.0	667.0	20.0	20.0	15.0	70.0	4.0
2	1	6	-35.78761901148086	1.0	0.5089820359281437	7047.0	343.0	936.0	49.0	20.0	371.0	377.0	23.0	37.0	667.0	15.0	21.0	70.0	20.0	4.0
1	2	7	-99999.9	1.0	-0.022151898734177215	7029.0	361.0	382.0	369.0	20.0	944.0	46.0	15.0	39.0	661.0	19.0	21.0	18.0	75.0	1.0
1	7	2	0.7654642039786499	0.22199752088618352	0.020771513353115726	7029.0	382.0	361.0	369.0	20.0	944.0	39.0	21.0	46.0	661.0	18.0	15.0	19.0	75.0	1.0
2	1	7	-35.32070541215771	1.0	0.5053598774885145	7029.0	361.0	944.0	46.0	15.0	382.0	369.0	20.0	39.0	661.0	19.0	21.0	75.0	18.0	1.0
1	2	8	-99999.9	1.0	-0.031446540880503145	7038.0	352.0	383.0	371.0	17.0	943.0	43.0	19.0	33.0	667.0	19.0	20.0	19.0	75.0	1.0
1	8	2	1.1585837032165087	0.12331301576635911	0.028735632183908046	7038.0	383.0	352.0	371.0	17.0	943.0	33.0	20.0	43.0	667.0	19.0	19.0	19.0	75.0	1.0
2	1	8	-38.00154546550146	1.0	0.5075075075075076	7038.0	352.0	943.0	43.0	19.0	383.0	371.0	17.0	33.0	667.0	19.0	20.0	75.0	19.0	1.0
