P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	0.3080085700633354	0.3790379744059934	0.9910714285714286	22695.0	1261.0	713.0	87.0	22.0	757.0	83.0	17.0	527.0	3539.0	152.0	24.0	62.0	58.0	3.0
1	3	2	-33.88094270696687	1.0	0.502262443438914	22695.0	713.0	1261.0	87.0	22.0	757.0	527.0	24.0	83.0	3539.0	62.0	17.0	152.0	58.0	3.0
2	1	3	-0.3052337180807828	0.6199058545050569	1.0091743119266054	22695.0	1261.0	757.0	83.0	17.0	713.0	87.0	22.0	527.0	3539.0	152.0	24.0	58.0	62.0	3.0
1	2	4	1.0937029955105293	0.13704267248361768	0.9695652173913042	22736.0	1220.0	706.0	91.0	25.0	761.0	77.0	19.0	523.0	3555.0	140.0	24.0	62.0	60.0	1.0
1	4	2	-33.748549575753444	1.0	0.5079726651480638	22736.0	706.0	1220.0	91.0	25.0	761.0	523.0	24.0	77.0	3555.0	62.0	19.0	140.0	60.0	1.0
2	1	4	-1.0593715113465219	0.8552846590568103	1.0334928229665072	22736.0	1220.0	761.0	77.0	19.0	706.0	91.0	25.0	523.0	3555.0	140.0	24.0	60.0	62.0	1.0
1	2	5	0.6983468559034922	0.24248008268209242	0.9800443458980045	22784.0	1172.0	711.0	89.0	22.0	758.0	80.0	19.0	522.0	3562.0	134.0	24.0	62.0	60.0	1.0
1	5	2	-33.598243178468046	1.0	0.5051428571428571	22784.0	711.0	1172.0	89.0	22.0	758.0	522.0	24.0	80.0	3562.0	62.0	19.0	134.0	60.0	1.0
2	1	5	-0.6841271235434664	0.753052619804871	1.0212264150943395	22784.0	1172.0	758.0	80.0	19.0	711.0	89.0	22.0	522.0	3562.0	134.0	24.0	60.0	62.0	1.0
1	2	6	1.0966579283033246	0.13639552043691872	0.9917061611374408	21630.0	2326.0	697.0	89.0	36.0	729.0	75.0	53.0	1749.0	2209.0	260.0	71.0	35.0	35.0	6.0
1	6	2	-130.03229721310845	1.0	0.5020995800839831	21630.0	697.0	2326.0	89.0	36.0	729.0	1749.0	71.0	75.0	2209.0	35.0	53.0	260.0	35.0	6.0
2	1	6	-1.087486356620979	0.8615889969509182	1.008505467800729	21630.0	2326.0	729.0	75.0	53.0	697.0	89.0	36.0	1749.0	2209.0	260.0	71.0	35.0	35.0	6.0
1	2	7	0.7487899144084893	0.2269918517492321	0.9950083194675541	21821.0	2135.0	708.0	77.0	37.0	744.0	68.0	45.0	1862.0	2090.0	266.0	73.0	33.0	36.0	5.0
1	7	2	-148.50999969101713	1.0	0.501257334450964	21821.0	708.0	2135.0	77.0	37.0	744.0	1862.0	73.0	68.0	2090.0	33.0	45.0	266.0	36.0	5.0
2	1	7	-0.7450334432659718	0.7718743169951868	1.0050675675675675	21821.0	2135.0	744.0	68.0	45.0	708.0	77.0	37.0	1862.0	2090.0	266.0	73.0	36.0	33.0	5.0
1	2	8	-1.4181894023994983	0.9219322117205588	1.0074906367041199	22203.0	1753.0	736.0	55.0	31.0	756.0	71.0	30.0	2223.0	1757.0	238.0	90.0	25.0	28.0	4.0
1	8	2	-192.16466402513237	1.0	0.4981481481481481	22203.0	736.0	1753.0	55.0	31.0	756.0	2223.0	90.0	71.0	1757.0	25.0	30.0	238.0	28.0	4.0
2	1	8	1.428733561525145	0.07654046218367538	0.9926739926739927	22203.0	1753.0	756.0	71.0	30.0	736.0	55.0	31.0	2223.0	1757.0	238.0	90.0	28.0	25.0	4.0
1	2	9	0.2324095541074133	0.4081100106779727	0.9993523316062176	23100.0	856.0	769.0	38.0	15.0	809.0	36.0	12.0	3122.0	968.0	128.0	123.0	12.0	11.0	1.0
1	9	2	-358.3755324336304	1.0	0.500162074554295	23100.0	769.0	856.0	38.0	15.0	809.0	3122.0	123.0	36.0	968.0	12.0	12.0	128.0	11.0	1.0
2	1	9	-0.2322589322317766	0.5918315000715628	1.00064892926671	23100.0	856.0	809.0	36.0	12.0	769.0	38.0	15.0	3122.0	968.0	128.0	123.0	11.0	12.0	1.0
1	2	10	0.0	0.49999999949999996	nan	23154.0	802.0	777.0	32.0	13.0	808.0	32.0	17.0	3216.0	877.0	125.0	129.0	9.0	8.0	1.0
1	10	2	-397.68942640607645	1.0	0.5	23154.0	777.0	802.0	32.0	13.0	808.0	3216.0	129.0	32.0	877.0	9.0	17.0	125.0	8.0	1.0
2	1	10	0.0	0.49999999949999996	nan	23154.0	802.0	808.0	32.0	17.0	777.0	32.0	13.0	3216.0	877.0	125.0	129.0	8.0	9.0	1.0
1	2	11	0.4998848649207935	0.3085780735738035	0.9987429289754871	23107.0	849.0	775.0	34.0	13.0	816.0	30.0	11.0	3208.0	875.0	135.0	126.0	9.0	9.0	3.0
1	11	2	-396.65864031465077	1.0	0.5003148614609572	23107.0	775.0	849.0	34.0	13.0	816.0	3208.0	126.0	30.0	875.0	9.0	11.0	135.0	9.0	3.0
2	1	11	-0.4992556832154179	0.6912003654486216	1.001261829652997	23107.0	849.0	816.0	30.0	11.0	775.0	34.0	13.0	3208.0	875.0	135.0	126.0	9.0	9.0	3.0
1	2	12	0.2498784612540074	0.4013407251342296	0.9993722536095417	23098.0	858.0	772.0	33.0	17.0	813.0	31.0	13.0	3215.0	880.0	123.0	128.0	9.0	9.0	1.0
1	12	2	-397.5566318551289	1.0	0.5001570845114671	23098.0	772.0	858.0	33.0	17.0	813.0	3215.0	128.0	31.0	880.0	9.0	13.0	123.0	9.0	1.0
2	1	12	-0.2497215024215614	0.598598580925289	1.0006289308176102	23098.0	858.0	813.0	31.0	13.0	772.0	33.0	17.0	3215.0	880.0	123.0	128.0	9.0	9.0	1.0
1	2	13	1.0001144581333938	0.1586275699441443	0.9976154992548435	23332.0	624.0	770.0	36.0	16.0	818.0	28.0	11.0	3375.0	748.0	95.0	127.0	11.0	6.0	3.0
1	13	2	-417.4227719634258	1.0	0.5005982650314089	23332.0	770.0	624.0	36.0	16.0	818.0	3375.0	127.0	28.0	748.0	11.0	11.0	95.0	6.0	3.0
2	1	13	-0.997723984376278	0.8407933811660249	1.0024016811768237	23332.0	624.0	818.0	28.0	11.0	770.0	36.0	16.0	3375.0	748.0	95.0	127.0	6.0	11.0	3.0
1	2	14	1.1501101547684192	0.12504930886074317	0.9990188864361049	23813.0	143.0	812.0	8.0	2.0	847.0	4.0	6.0	4077.0	117.0	24.0	144.0	1.0	1.0	1.0
1	14	2	-1169.949554938162	1.0	0.5002456398919184	23813.0	812.0	143.0	8.0	2.0	847.0	4077.0	144.0	4.0	117.0	1.0	6.0	24.0	1.0	1.0
2	1	14	-1.1489806579309347	0.8747179653963968	1.0009840098400984	23813.0	143.0	847.0	4.0	6.0	812.0	8.0	2.0	4077.0	117.0	24.0	144.0	1.0	1.0	1.0
1	3	4	-99999.9	1.0	-0.25	22245.0	1163.0	1197.0	143.0	30.0	1140.0	138.0	30.0	137.0	3451.0	96.0	31.0	105.0	91.0	3.0
1	4	3	0.06492996976104656	0.47411480958435004	0.14285714285714285	22245.0	1197.0	1163.0	143.0	30.0	1140.0	137.0	31.0	138.0	3451.0	105.0	30.0	96.0	91.0	3.0
3	1	4	-0.32464984880523445	0.6272768838450571	0.5454545454545454	22245.0	1163.0	1140.0	138.0	30.0	1197.0	143.0	30.0	137.0	3451.0	96.0	31.0	91.0	105.0	3.0
1	3	5	-99999.9	1.0	-1.9999999999999998	22300.0	1108.0	1195.0	146.0	29.0	1138.0	140.0	30.0	136.0	3458.0	90.0	30.0	106.0	90.0	4.0
1	5	3	0.27446490762503334	0.3918637477435434	0.28571428571428575	22300.0	1195.0	1108.0	146.0	29.0	1138.0	136.0	30.0	140.0	3458.0	106.0	30.0	90.0	90.0	4.0
3	1	5	-0.4116973614375509	0.6597193261966863	0.625	22300.0	1108.0	1138.0	140.0	30.0	1195.0	146.0	29.0	136.0	3458.0	90.0	30.0	90.0	106.0	4.0
