P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	1.2601357813867793	0.10381026091725298	0.011730205278592375	7715.0	67.0	53.0	340.0	0.0	423.0	3.0	2.0	7.0	1312.0	10.0	1.0	4.0	63.0	0.0
1	3	2	-99999.9	1.0	-0.0121580547112462	7715.0	53.0	67.0	340.0	0.0	423.0	7.0	1.0	3.0	1312.0	4.0	2.0	10.0	63.0	0.0
2	1	3	-104.90630380044979	1.0	0.49701492537313435	7715.0	67.0	423.0	3.0	2.0	53.0	340.0	0.0	7.0	1312.0	10.0	1.0	63.0	4.0	0.0
1	2	4	2.9081364665177136	0.0018180154361331358	0.1390728476821192	7544.0	238.0	242.0	146.0	5.0	404.0	16.0	8.0	37.0	1270.0	22.0	12.0	14.0	41.0	1.0
1	4	2	-99999.9	1.0	-0.23863636363636365	7544.0	242.0	238.0	146.0	5.0	404.0	37.0	12.0	16.0	1270.0	14.0	8.0	22.0	41.0	1.0
2	1	4	-15.094613088115754	1.0	0.45606694560669453	7544.0	238.0	404.0	16.0	8.0	242.0	146.0	5.0	37.0	1270.0	22.0	12.0	41.0	14.0	1.0
1	2	5	2.4622803874563757	0.006902841442267604	0.11643835616438357	7535.0	247.0	242.0	145.0	6.0	402.0	16.0	10.0	33.0	1276.0	20.0	12.0	14.0	41.0	1.0
1	5	2	-99999.9	1.0	-0.17894736842105263	7535.0	242.0	247.0	145.0	6.0	402.0	33.0	12.0	16.0	1276.0	14.0	10.0	20.0	41.0	1.0
2	1	5	-16.222082552653777	1.0	0.46473029045643155	7535.0	247.0	402.0	16.0	10.0	242.0	145.0	6.0	33.0	1276.0	20.0	12.0	41.0	14.0	1.0
1	2	6	1.0390643888837015	0.14938742023792462	0.05263157894736842	7526.0	256.0	244.0	146.0	3.0	402.0	20.0	6.0	27.0	1286.0	16.0	13.0	15.0	39.0	1.0
1	6	2	-99999.9	1.0	-0.0625	7526.0	244.0	256.0	146.0	3.0	402.0	27.0	13.0	20.0	1286.0	15.0	6.0	16.0	39.0	1.0
2	1	6	-17.664094611022932	1.0	0.4857142857142857	7526.0	256.0	402.0	20.0	6.0	244.0	146.0	3.0	27.0	1286.0	16.0	13.0	39.0	15.0	1.0
1	2	7	1.416800720191124	0.07827065058570493	0.07352941176470588	7527.0	255.0	242.0	147.0	4.0	401.0	21.0	6.0	31.0	1283.0	15.0	11.0	16.0	40.0	1.0
1	7	2	-99999.9	1.0	-0.09433962264150944	7527.0	242.0	255.0	147.0	4.0	401.0	31.0	11.0	21.0	1283.0	16.0	6.0	15.0	40.0	1.0
2	1	7	-16.43488835421704	1.0	0.4793388429752066	7527.0	255.0	401.0	21.0	6.0	242.0	147.0	4.0	31.0	1283.0	15.0	11.0	40.0	16.0	1.0
1	2	8	0.8480278699526386	0.1982111777095137	0.9824561403508771	7061.0	721.0	338.0	38.0	17.0	378.0	31.0	19.0	423.0	837.0	69.0	33.0	19.0	14.0	2.0
1	8	2	-46.64153284739515	1.0	0.5045045045045045	7061.0	338.0	721.0	38.0	17.0	378.0	423.0	33.0	31.0	837.0	19.0	19.0	69.0	14.0	2.0
