P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	0.7571028884709794	0.22449404467742706	0.8095238095238095	6834.0	598.0	685.0	70.0	35.0	824.0	62.0	35.0	96.0	606.0	31.0	44.0	28.0	50.0	2.0
1	3	2	-2.46058438753068	0.9930644461632503	0.5666666666666668	6834.0	685.0	598.0	70.0	35.0	824.0	96.0	44.0	62.0	606.0	28.0	35.0	31.0	50.0	2.0
2	1	3	-0.5789610323601606	0.7186923064286606	1.4444444444444444	6834.0	598.0	824.0	62.0	35.0	685.0	70.0	35.0	96.0	606.0	31.0	44.0	50.0	28.0	2.0
1	2	4	0.5619158677258612	0.2870866384883357	0.8421052631578947	6840.0	592.0	686.0	69.0	35.0	820.0	63.0	38.0	95.0	607.0	31.0	43.0	29.0	49.0	3.0
1	4	2	-2.4349687601453995	0.992553461334678	0.5517241379310345	6840.0	686.0	592.0	69.0	35.0	820.0	95.0	43.0	63.0	607.0	29.0	38.0	31.0	49.0	3.0
2	1	4	-0.45655664252726225	0.6760051034461886	1.3	6840.0	592.0	820.0	63.0	38.0	686.0	69.0	35.0	95.0	607.0	31.0	43.0	49.0	29.0	3.0
1	2	5	-0.16798691856295422	0.5667032162359033	1.0555555555555556	6820.0	612.0	686.0	66.0	38.0	810.0	68.0	43.0	106.0	591.0	36.0	38.0	33.0	51.0	2.0
1	5	2	-3.3597383712590903	0.9996098640084963	0.48717948717948717	6820.0	686.0	612.0	66.0	38.0	810.0	106.0	38.0	68.0	591.0	33.0	43.0	36.0	51.0	2.0
2	1	5	0.17682833532942552	0.42982162189991335	0.9523809523809523	6820.0	612.0	810.0	68.0	43.0	686.0	66.0	38.0	106.0	591.0	36.0	38.0	51.0	33.0	2.0
1	2	6	1.0133569320762466	0.155444866487495	0.8	6865.0	567.0	679.0	75.0	36.0	808.0	64.0	49.0	108.0	582.0	43.0	42.0	29.0	49.0	4.0
1	6	2	-3.0400707962287417	0.9988173181295161	0.5714285714285715	6865.0	679.0	567.0	75.0	36.0	808.0	108.0	42.0	64.0	582.0	29.0	49.0	43.0	49.0	4.0
2	1	6	-0.7600176990571851	0.7763780641211715	1.5	6865.0	567.0	808.0	64.0	49.0	679.0	75.0	36.0	108.0	582.0	43.0	42.0	49.0	29.0	4.0
1	2	7	0.2693486253518735	0.3938307705295008	0.8846153846153846	6838.0	594.0	679.0	71.0	40.0	823.0	68.0	30.0	91.0	595.0	47.0	38.0	30.0	53.0	3.0
1	7	2	-1.795657502345825	0.9637255491877912	0.5348837209302325	6838.0	679.0	594.0	71.0	40.0	823.0	91.0	38.0	68.0	595.0	30.0	30.0	47.0	53.0	3.0
2	1	7	-0.23421619595815088	0.5925913817437978	1.1764705882352942	6838.0	594.0	823.0	68.0	30.0	679.0	71.0	40.0	91.0	595.0	47.0	38.0	53.0	30.0	3.0
1	2	8	1.1601306081858873	0.12299787561161613	0.9194630872483222	6933.0	499.0	709.0	63.0	18.0	840.0	51.0	30.0	188.0	513.0	32.0	47.0	31.0	43.0	3.0
1	8	2	-12.084693835269652	1.0	0.5229007633587787	6933.0	709.0	499.0	63.0	18.0	840.0	188.0	47.0	51.0	513.0	31.0	30.0	32.0	43.0	3.0
2	1	8	-1.0585133286367583	0.8550892299892743	1.1061946902654867	6933.0	499.0	840.0	51.0	30.0	709.0	63.0	18.0	188.0	513.0	32.0	47.0	43.0	31.0	3.0
1	2	9	0.6674564357279527	0.25224024831921255	0.9815384615384616	7091.0	341.0	732.0	44.0	14.0	857.0	38.0	26.0	357.0	352.0	24.0	74.0	22.0	27.0	1.0
1	9	2	-34.81897739714152	1.0	0.504746835443038	7091.0	732.0	341.0	44.0	14.0	857.0	357.0	74.0	38.0	352.0	22.0	26.0	24.0	27.0	1.0
2	1	9	-0.6549023961844802	0.743734764606732	1.019543973941368	7091.0	341.0	857.0	38.0	26.0	732.0	44.0	14.0	357.0	352.0	24.0	74.0	27.0	22.0	1.0
1	2	10	0.49417370153174356	0.31059175714075504	0.9899749373433584	7181.0	251.0	732.0	35.0	23.0	863.0	31.0	27.0	426.0	290.0	17.0	77.0	18.0	22.0	7.0
1	10	2	-48.30547932472801	1.0	0.5025445292620866	7181.0	732.0	251.0	35.0	23.0	863.0	426.0	77.0	31.0	290.0	18.0	27.0	17.0	22.0	7.0
2	1	10	-0.48916941088332105	0.6876391137107902	1.0103359173126616	7181.0	251.0	863.0	31.0	27.0	732.0	35.0	23.0	426.0	290.0	17.0	77.0	22.0	18.0	7.0
1	2	11	0.7785260559908915	0.21812941185993884	0.9853300733496333	7162.0	270.0	744.0	33.0	13.0	870.0	27.0	24.0	430.0	285.0	18.0	81.0	18.0	21.0	4.0
1	11	2	-51.51247403806401	1.0	0.50375	7162.0	744.0	270.0	33.0	13.0	870.0	430.0	81.0	27.0	285.0	18.0	24.0	18.0	21.0	4.0
2	1	11	-0.766935097340903	0.7784400134747808	1.0153452685421995	7162.0	270.0	870.0	27.0	24.0	744.0	33.0	13.0	430.0	285.0	18.0	81.0	21.0	18.0	4.0
1	2	12	1.160337440865815	0.12295578186484646	0.9781021897810219	7163.0	269.0	741.0	35.0	14.0	871.0	26.0	24.0	428.0	286.0	19.0	79.0	20.0	21.0	4.0
1	12	2	-50.66806825114057	1.0	0.5056603773584905	7163.0	741.0	269.0	35.0	14.0	871.0	428.0	79.0	26.0	286.0	20.0	24.0	19.0	21.0	4.0
2	1	12	-1.134359736965834	0.8716781063951106	1.0234375	7163.0	269.0	871.0	26.0	24.0	741.0	35.0	14.0	428.0	286.0	19.0	79.0	21.0	20.0	4.0
