P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
1	2	3	-0.6849449762692645	0.753310746170504	1.0888888888888888	7043.0	415.0	569.0	58.0	21.0	1101.0	66.0	33.0	164.0	418.0	21.0	54.0	15.0	21.0	1.0
1	3	2	-9.075520935567754	1.0	0.4803921568627451	7043.0	569.0	415.0	58.0	21.0	1101.0	164.0	54.0	66.0	418.0	15.0	33.0	21.0	21.0	1.0
2	1	3	0.7408588518830821	0.22938944488394464	0.9298245614035088	7043.0	415.0	1101.0	66.0	33.0	569.0	58.0	21.0	164.0	418.0	21.0	54.0	21.0	15.0	1.0
1	2	4	0.2990831331600531	0.38243837588466567	0.9743589743589743	7065.0	393.0	576.0	53.0	19.0	1114.0	50.0	36.0	164.0	422.0	17.0	52.0	16.0	20.0	3.0
1	4	2	-11.066075926921963	1.0	0.5066666666666666	7065.0	576.0	393.0	53.0	19.0	1114.0	164.0	52.0	50.0	422.0	16.0	36.0	17.0	20.0	3.0
2	1	4	-0.29121252439268325	0.6145555406037162	1.0277777777777777	7065.0	393.0	1114.0	50.0	36.0	576.0	53.0	19.0	164.0	422.0	17.0	52.0	20.0	16.0	3.0
1	2	5	-0.6121657891624279	0.7297860153291824	1.0382165605095541	7099.0	359.0	583.0	43.0	22.0	1125.0	49.0	26.0	212.0	358.0	33.0	53.0	14.0	22.0	2.0
1	5	2	-17.24266972807506	1.0	0.49096385542168675	7099.0	583.0	359.0	43.0	22.0	1125.0	212.0	53.0	49.0	358.0	14.0	26.0	33.0	22.0	2.0
2	1	5	0.6346994991929465	0.26281215146233605	0.9657142857142857	7099.0	359.0	1125.0	49.0	26.0	583.0	43.0	22.0	212.0	358.0	33.0	53.0	22.0	14.0	2.0
1	2	6	0.3136107968561289	0.3769083980717809	0.9817073170731707	7072.0	386.0	581.0	48.0	19.0	1126.0	45.0	29.0	206.0	368.0	29.0	55.0	15.0	20.0	1.0
1	6	2	-16.516835301089472	1.0	0.5047021943573669	7072.0	581.0	386.0	48.0	19.0	1126.0	206.0	55.0	45.0	368.0	15.0	29.0	29.0	20.0	1.0
2	1	6	-0.30776711741160484	0.6208701590157855	1.0193548387096774	7072.0	386.0	1126.0	45.0	29.0	581.0	48.0	19.0	206.0	368.0	29.0	55.0	20.0	15.0	1.0
1	2	7	0.23646317507498546	0.40653668797272535	0.9917355371900827	7154.0	304.0	601.0	37.0	10.0	1147.0	35.0	18.0	275.0	312.0	16.0	57.0	12.0	20.0	2.0
1	7	2	-28.139117833923308	1.0	0.502092050209205	7154.0	601.0	304.0	37.0	10.0	1147.0	275.0	57.0	35.0	312.0	12.0	18.0	16.0	20.0	2.0
2	1	7	-0.23449264861602728	0.5926986828162595	1.0084745762711864	7154.0	304.0	1147.0	35.0	18.0	601.0	37.0	10.0	275.0	312.0	16.0	57.0	20.0	12.0	2.0
1	2	8	0.0	0.49999999949999996	nan	7231.0	227.0	612.0	28.0	8.0	1154.0	28.0	18.0	348.0	241.0	14.0	66.0	10.0	14.0	1.0
